Player,Rk,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Tgt,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,Code,FantPt/G,PPR/G
Cody Latimer,242,NYG,WR,27,15,10,0,0,0,0,0,0,0,,0,42,24,300,12.5,2,0,0,2,,,42.0,66.0,69.0,54.0,,91,,LatiCo00,2.8,4.4
Scott Miller,287,TAM,WR,22,10,2,0,0,0,0,0,2,16,8.0,0,26,13,200,15.38,1,0,0,1,,,28.0,40.6,43.6,34.1,,116,,MillSc01,2.8,4.0600000000000005
Tim Patrick,325,DEN,WR,26,8,2,0,0,0,0,0,0,0,,0,31,16,218,13.63,0,0,0,0,,,22.0,37.8,40.8,29.8,,135,,PatrTi00,2.75,4.725
Jakeem Grant,289,MIA,WR,27,10,2,0,0,0,0,0,4,5,1.25,1,33,19,164,8.63,0,2,1,2,,,27.0,45.9,49.9,36.4,,118,,GranJa00,2.7,4.59
Kalif Raymond,330,TEN,WR,25,8,1,0,0,0,0,0,1,-5,-5.0,0,12,9,170,18.89,1,1,1,1,,,21.0,29.5,33.5,25.0,,136,,RaymKa00,2.625,3.6875
Geronimo Allison,245,GNB,WR,25,16,6,0,0,0,0,0,1,7,7.0,0,55,34,287,8.44,2,2,1,2,1.0,,41.0,75.4,79.4,58.4,,92,,AlliGe01,2.5625,4.7125
Josh Reynolds,248,LAR,WR,24,16,2,0,0,0,0,0,5,23,4.6,0,43,21,326,15.52,1,0,0,1,,,41.0,61.9,64.9,51.4,,93,,ReynJo00,2.5625,3.86875
Chester Rogers,282,IND,WR,25,12,6,0,0,0,0,0,1,18,18.0,0,28,16,179,11.19,2,2,1,2,,,30.0,45.7,49.7,37.7,,111,,RogeCh02,2.5,3.8083333333333336
KeeSean Johnson,305,ARI,WR,23,10,4,0,0,0,0,0,1,3,3.0,0,42,21,187,8.9,1,1,1,1,1.0,,25.0,46.0,50.0,35.5,,124,,JohnKe07,2.5,4.6
Vyncint Smith,274,NYJ,WR,23,13,4,0,0,0,0,0,3,52,17.33,1,31,17,225,13.24,0,1,1,1,,,32.0,48.7,52.7,40.2,,107,,SmitVy00,2.4615384615384617,3.746153846153846
Seth Roberts,252,BAL,WR,28,16,0,0,0,0,0,0,0,0,,0,35,21,271,12.9,2,0,0,2,,,39.0,60.1,63.1,49.6,,96,,RobeSe00,2.4375,3.75625
Tavon Austin,268,DAL,WR,29,14,0,0,0,0,0,0,6,47,7.83,1,24,13,177,13.62,1,1,0,2,,,34.0,47.4,50.4,40.9,,103,,AustTa00,2.4285714285714284,3.3857142857142857
Jakobi Meyers,264,NWE,WR,23,15,1,0,0,0,0,0,0,0,,0,41,26,359,13.81,0,0,0,0,,,36.0,61.9,64.9,48.9,,101,,MeyeJa01,2.4,4.126666666666667
Olamide Zaccheaus,313,ATL,WR,22,10,0,0,0,0,0,0,0,0,,0,5,3,115,38.33,1,0,0,2,,,24.0,26.5,29.5,25.0,,129,,ZaccOl01,2.4,2.65
Isaiah McKenzie,263,BUF,WR,24,15,8,0,0,0,0,0,8,49,6.13,0,39,27,254,9.41,1,0,0,1,,,36.0,63.3,66.3,49.8,,100,,McKeIs00,2.4,4.22
Pharoh Cooper,276,2TM,WR,24,13,1,0,0,0,0,0,1,2,2.0,0,33,25,243,9.72,1,0,0,1,,,31.0,55.5,58.5,43.0,,109,,CoopPh00,2.3846153846153846,4.269230769230769
Miles Boykin,255,BAL,WR,23,16,11,0,0,0,0,0,0,0,,0,22,13,198,15.23,3,0,0,3,,,38.0,50.8,53.8,44.3,,97,,BoykMi00,2.375,3.175
Kelvin Harmon,259,WAS,WR,23,16,8,1,1,11,0,0,0,0,,0,44,30,365,12.17,0,0,0,0,,,37.0,66.9,69.9,51.9,,98,,HarmKe00,2.3125,4.18125
Jaron Brown,273,SEA,WR,29,14,4,0,0,0,0,0,0,0,,0,28,16,220,13.75,2,1,1,2,,,32.0,48.0,52.0,40.0,,105,,BrowJa03,2.2857142857142856,3.4285714285714284
DaeSean Hamilton,261,DEN,WR,24,16,2,0,0,0,0,0,0,0,,0,52,28,297,10.61,1,0,0,1,,,36.0,63.7,66.7,49.7,,102,,HamiDa01,2.25,3.98125
Dante Pettis,311,SFO,WR,24,11,4,1,1,16,0,0,0,0,,0,24,11,109,9.91,2,0,0,2,,,24.0,34.5,37.5,29.0,,128,,PettDa00,2.1818181818181817,3.1363636363636362
Trey Quinn,300,WAS,WR,24,12,6,0,0,0,0,0,0,0,,0,47,26,198,7.62,1,1,1,1,1.0,,26.0,51.8,55.8,38.8,,122,,QuinTr00,2.1666666666666665,4.316666666666666
Malik Turner,279,SEA,WR,23,15,3,0,0,0,0,0,0,0,,0,22,15,245,16.33,1,0,0,1,,,31.0,45.5,48.5,38.0,,110,,TurnMa00,2.066666666666667,3.033333333333333
Damion Ratley,301,CLE,WR,24,13,3,0,0,0,0,0,0,0,,0,24,12,200,16.67,1,0,0,1,,,26.0,38.0,41.0,32.0,,121,,RatlDa00,2.0,2.923076923076923
Jake Kumerow,286,GNB,WR,27,14,4,0,0,0,0,0,0,0,,0,21,12,219,18.25,1,0,0,1,,,28.0,39.9,42.9,33.9,,115,,KumeJa00,2.0,2.85
Laquon Treadwell,312,MIN,WR,24,13,1,0,0,0,0,0,0,0,,0,16,9,184,20.44,1,0,0,1,,,24.0,33.4,36.4,28.9,,127,,TreaLa00,1.8461538461538463,2.569230769230769
Jarius Wright,284,CAR,WR,30,16,9,0,0,0,0,0,1,-7,-7.0,0,58,28,296,10.57,0,0,0,0,,,29.0,56.9,59.9,42.9,,112,,WrigJa02,1.8125,3.55625
