"player","tournament id","Player_initial_last","player id","DK_Hole_FP","DK_Streak_Bonus_FP","FD_Hole_FP","FD_Streak_Bonus_FP","tournament name","season","final position","DK_Finish_FP","FD_Finish_FP","DK_Total_FP","FD_Total_FP","major","made_cut","course","SD_Hole_FP","SD_Streak_Bonus_FP","SD_Finish_FP","SD_Total_FP","date","Finish","Score","sg_putt","sg_arg","sg_app","sg_ott","sg_t2g","sg_total","place"
"Adam Hadwin",401155475,"A. Hadwin",5548,41,0,31.8,0.6,"BMW Championship",2020,40,2,1,43,33.4,0,1,"Olympia Fields Country Club - Olympia Fields, IL",50,0,0,50,2020-08-30,"T40","8",-0.59,0.01,0.29,0.1,0.4,-0.18,"40"
"Adam Hadwin",401219333,"A. Hadwin",5548,30.5,0,14.8,15,"U.S. Open",2021,54,0,0,30.5,29.8,1,1,"Winged Foot GC - Mamaroneck, NY",29,0,0,29,2020-09-20,"54","19",-0.26,1.04,-0.93,-0.53,-0.42,-0.68,"54"
"Adam Hadwin",401219478,"A. Hadwin",5548,23,0,20.9,0,"Masters Tournament",2021,NA,0,0,23,20.9,1,0,"Augusta National - Augusta, GA",30,0,0,30,2020-11-15,NA,NA,NA,NA,NA,NA,NA,NA,"-"
"Adam Hadwin",401219481,"A. Hadwin",5548,54.5,0,47.5,20.6,"PGA Championship",2020,58,0,0,54.5,68.1,1,1,"TPC Harding Park - San Francisco, CA",57,0,0,57,2020-08-09,"T58","2",0.14,-0.22,-0.16,0.26,-0.11,0.03,"58"
"Adam Hadwin",401219498,"A. Hadwin",5548,84,3,76.5,33.5,"RBC Heritage",2020,41,1,0,88,110,0,1,"Harbour Town - Hilton Head, SC",76,13,0,89,2020-06-21,"T41","-11",0.67,-0.12,0.2,-0.06,0.02,0.69,"41"
"Adam Hadwin",401219795,"A. Hadwin",5548,87,6,82.3,30.3,"Shriners Hospital for Children Open",2021,34,2,1,95,113.6,0,1,"TPC Summerlin - Las Vegas, NV",78,13,0,91,2020-10-11,"T34","-13",0.56,0.43,-0.69,0.45,0.19,0.74,NA
"Adam Hadwin",401219796,"A. Hadwin",5548,70,3,63.9,35,"The CJ Cup @ Shadow Creek",2021,28,3,2,76,100.9,0,1,"Shadow Creek GC - Las Vegas, NV",64,9,0,73,2020-10-18,"T28","-5",-0.33,1.07,-0.72,0.55,0.91,0.58,"28"
"Adam Hadwin",401219797,"A. Hadwin",5548,66,0,60.1,19.8,"The ZOZO Championship",2021,63,0,0,66,79.9,0,1,"Sherwood CC - Thousand Oaks, CA",68,6,0,74,2020-10-25,"T63","-5",-0.18,-0.56,-0.25,-0.51,-1.31,-1.49,"63"
"Adam Hadwin",401219801,"A. Hadwin",5548,21,0,17.9,5,"The RSM Classic",2021,NA,0,0,21,22.9,0,0,"Sea Island - Sea Island, GA",26,0,0,26,2020-11-22,"CUT","3",0.42,0.57,-0.68,-0.63,-0.74,-0.32,"-"
"Adam Hadwin",401219802,"A. Hadwin",5548,25.5,0,18.7,15,"Mayakoba Golf Classic",2021,NA,0,0,25.5,33.7,0,0,"El Camaleon - Playa del Carmen, Mexico",23,0,0,23,2020-12-06,NA,NA,NA,NA,NA,NA,NA,NA,"-"
